Data ID No,Chemical Name,Chemical Class,Carbon Number,CAS,SMILES,DT50,logDT50,logfoc,StudyT,Dispersant,logTdose,logDose,chain:alkaneBranch_isopropyl_C3,chain:alkaneBranch_t-butyl_C4,chain:alkaneBranch_neopentyl_C5,chain:alkaneBranch_isohexyl_pentyl_3-methyl,chain:alkaneBranch_isooctyl_heptyl_3-methyl,chain:alkaneBranch_isononyl_heptyl_2_5-methyl,chain:alkaneCyclic_pentyl_C5,chain:alkaneCyclic_hexyl_C6,chain:alkaneLinear_ethyl_C2_(connect_noZ_CN=4),chain:alkaneLinear_propyl_C3,chain:alkaneLinear_butyl_C4,chain:alkaneLinear_hexyl_C6,chain:alkaneLinear_octyl_C8,chain:alkaneLinear_decyl_C10,chain:alkaneLinear_dodedyl_C12,chain:alkaneLinear_tetradecyl_C14,chain:alkaneLinear_hexadecyl_C16,chain:alkaneLinear_stearyl_C18,chain:alkeneCyclic_diene_cyclohexene,chain:alkeneCyclic_diene_cyclopentadiene,chain:alkeneCyclic_ethene_C_(connect_noZ),chain:aromaticAlkane_Ar-C_meta,chain:aromaticAlkane_Ar-C_ortho,chain:aromaticAlkane_Ph-C1_acyclic_connect_H_gt_1,chain:aromaticAlkane_Ph-C1_acyclic_connect_noDblBd,chain:aromaticAlkane_Ph-C1_acyclic_generic,chain:aromaticAlkane_Ph-1_4-C1_acyclic,chain:aromaticAlkane_Ph-C2,chain:aromaticAlkane_Ph-C1_cyclic,chain:aromaticAlkene_Ph-C2_cyclic,ring:aromatic_benzene,ring:aromatic_biphenyl,ring:aromatic_phenyl,ring:fused_[6_6]_naphthalene,ring:fused_[6_6]_tetralin,ring:fused_PAH_acenaphthylene,ring:fused_PAH_anthracene,ring:fused_PAH_benz(a)anthracene,ring:fused_PAH_benzophenanthrene,ring:fused_PAH_fluorene,ring:fused_PAH_phenanthrene,ring:fused_PAH_pyrene,ring:hetero_[5]_O_furan,ring:hetero_[5]_O_oxolane,ring:hetero_[5]_S_thiophene,ring:hetero_[5]_Z_1-Z,ring:hetero_[5_6]_O_benzofuran,ring:hetero_[5_6]_Z_generic,ring:hetero_[6_5_6]_O_benzofuran_dibenzo,Inoculum description,Inoculum assignment,Compartment assignment,Matrix location,Approximate location coordinates,Matrix collection Temperature (oC),Matrix storage,Study system,Study matrix volume (L),Matrix Organic Carbon Content (%),pH,Study moisture content (%),Study Sediment:Water ratio,Study Agitation,Study Agitation description,Study Aeration,Study Aeration description,Study duration (d),Study controls,Abiotic control type,Test substance type,Test substance description,Test substance physical form,Test substance dosing stratgy,Total hydrocarbon dose (ppm),Initial test substance concentration (ppm),Final test substance concentration (ppm),Kinetics used,R2 (if applicable),Lag (d),Rate (d-1),Halflife (d),Study reference,Study comments,Other comments,Soil classification,Non standard inoculum,pH,Organic carbon,Sampling and storage,"Nutrient supplemenation (N,P)",Non-routine experimental setup,Soil moisture,Soil aeration,Water:Sediment ratio,Sediment agitation and aeration,Light regime,Test substance concentration,"Mixtures, crudes or petroleum products",Temperature,Inoculum,Test system,Flags,Total relevance (Inoculum + Test system ave),HL_bhcw,logHL_biohcw,SMILES2
512,n-hexadecane,n-P,16,544-76-3,CCCCCCCCCCCCCCCC,19.59039485,1.292043189,0.755874856,25,No,4.301029996,3.1266452,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sandy loam soil,Agricultural soil,Soil,"Casa Grande, AZ, USA","32°54'01.7""N 111°48'06.6""W",,Sieved through 2mm mesh and stored at 4oC until use,Open microcosm in 150mL serum bottles. Incubated in dark,0.02,5.7,,38.9,,No,,Yes,Open microcosm,45,Abiotic control,"Autoclave x3, 1h",Synthetic crude oil ,Consisted of n-alkanes ranged from C12 to C24. Weathered for 100h under nitrogen,Liquid,Mixed directly,20000,1338.582677,41.41190204,First order rate constant,0.96682765,,0.035374478,19.59039485,Hamamura 2013,Ammended with nutrients,,H,N ,H,H,H,H,N ,M,H,N/A,N/A,H,M,M,H,3.0,2.5,0,2.8,21.68,1.3361,CCCCCCCCCCCCCCCC
513,n-hexadecane,n-P,16,544-76-3,CCCCCCCCCCCCCCCC,14.33838373,1.156500199,0.591064607,25,No,4.301029996,3.349373061,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beaverton loam soil,Agricultural soil,Soil,"Beaverton, MT, USA","48°25'21.3""N 107°15'15.9""W",,Sieved through 2mm mesh and stored at 4oC until use,Open microcosm in 150mL serum bottles. Incubated in dark,0.02,3.9,,29.9,,No,,Yes,Open microcosm,76,Abiotic control,"Autoclave x3, 1h",Diesel,ExxonMobil Corp,Liquid,Mixed directly,20000,2235.491696,238.8505318,First order rate constant,0.88589378,,0.048331807,14.33838373,Hamamura 2013,Ammended with nutrients,,H,N ,H,H,H,H,N ,M,H,N/A,N/A,H,M,M,H,3.0,2.5,0,2.8,21.68,1.3361,CCCCCCCCCCCCCCCC
514,n-hexadecane,n-P,16,544-76-3,CCCCCCCCCCCCCCCC,18.80541336,1.274282884,0.826074803,28,No,5,3.161368002,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Woodland soil,Woodland soil,Soil,"La Plata City, Argentina","34°53'00.8""S 57°56'20.6""W",,"Air-dried (approx. 1 week), powdered and sieved through a 2-mm-mesh sieve",Closed (partially) microcosm in 4L glass flasks covered with sterilized paper and aluminum foil,1,6.7,,,,Yes,"Homogenised on d 15, 30, 60 and 90.",Yes,Vessel partially opened,60,No abiotic control but vessels partially covered,,Crude oil,Obtained from La Plata YPF refinery,Liquid,Mixed directly,100000,1450,450,First order rate constant,0.998994153,,0.036851091,18.80541336,Colombo 1996,<C16 not included in database due to expected abiotic losses through volatilisation,,L,N ,L,L,L,H,N ,L,H,N/A,N/A,L,M,M,H,1.4,2.0,0,1.7,21.68,1.3361,CCCCCCCCCCCCCCCC
515,n-hexadecane,n-P,16,544-76-3,CCCCCCCCCCCCCCCC,4.730375427,0.67489561,0.204119983,20,No,1.505149978,1.419790586,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Loamy sand soil,Permanent pasture field ,Soil,"Ingleby, Derbyshire, UK","52°51' 19.8” N, 1° 29' 13.9” W",,Sieved through 2mm mesh and stored at 4oC until use,Open micrcosm in glass flask fitted with polyurethane bung. Incubated in dark,0.07,1.6,,16,,No,,Yes,Open microcosm,56,Abiotic control,cycloheximide and sodium azide,Single constituent,,Liquid,Dissolved in solvent and applied to soil,32,26.29,7.85,First order rate constant,0.8,,0.1465,4.730375427,"Hydrocarbons, C18-C24, iso-alkanes <2% aromatics, REACH Dossier",,,H,N ,H,H,H,H,N ,H,H,N/A,N/A,H,M,M,H,3.0,2.7,0,2.8,21.68,1.3361,CCCCCCCCCCCCCCCC
516,n-hexadecane,n-P,16,544-76-3,CCCCCCCCCCCCCCCC,4.523498695,0.655474469,0.204119983,20,No,1.505149978,1.434345313,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Loamy sand soil,Permanent pasture field ,Soil,"Ingleby, Derbyshire, UK","52°51' 19.8” N, 1° 29' 13.9” W",,Sieved through 2mm mesh and stored at 4oC until use,Open micrcosm in glass flask fitted with polyurethane bung. Incubated in dark,0.07,1.6,,16,,No,,Yes,Open microcosm,56,Abiotic control,cycloheximide and sodium azide,Single constituent,,Liquid,Dissolved in solvent and applied to soil,32,27.186,7.26,First order rate constant,0.82,,0.1532,4.523498695,"Hydrocarbons, C18-C24, iso-alkanes <2% aromatics, REACH Dossier",,,H,N ,H,H,H,H,N ,H,H,N/A,N/A,H,M,M,H,3.0,2.7,0,2.8,21.68,1.3361,CCCCCCCCCCCCCCCC
517,n-hexadecane,n-P,16,544-76-3,CCCCCCCCCCCCCCCC,17.11111111,1.233278211,0.477121255,21,No,3.86332286,2.857332496,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Loamy sand from an Ah-horizon of a Luvisol + compost,Garden soil,Soil,"Hamburg, Germany",,,,Bench scale bioreactor using 3L glass reactors and with continous air flow and volatile traps,1.1875,3,,14 (60% WHC),,No,,Yes,Moistened air 2l/h continous,106,Mass balance with radiolabelled substrate,Mass balance between 80 - 100%,Diesel fuel + single constituent,,Liquid,Mixed directly,7300,720,,First order rate constant,0.88,,0.0405,17.11111111,Kastner 1995,,,H,N ,H,H,H,H,N ,H,H,N/A,N/A,L,M,M,H,3.0,2.3,0,2.7,21.68,1.3361,CCCCCCCCCCCCCCCC
518,n-hexane,n-P,6,110-54-3,CCCCCC,2.665384615,0.425759887,-1.698970004,23,No,2.004235366,1.230448921,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alluvial sand,Lake soil,Soil,"Lake Geneva, Switzerland",,,,"Open horizontal column experiment (120cm long x 8.1cm diameter). Due to the horizontal position of the column, no hydraulic gradient causing water advection along the
column axis was present. Substance transport across the column due to vapor transport",6.1,0.02,,11.8,,No,,Yes,Column purged with water satuated airflow at a rate of 5mL/min,51,Conservative tracers (CFC-113 and CFC-11) used,,Synthetic mixture,Gasoline components,Liquid,Mixed directly (gaseous volume injected),100.98,17,,First order rate constant,,,0.26,2.665384615,Hohener 2003,,,L,Y,L,H,H,H,Y,M,H,N/A,N/A,L,H,M,H,2.2,2.3,2,2.3,4.699,0.6721,CCCCCC
519,n-hexane,n-P,6,110-54-3,CCCCCC,6.93,0.840733235,-2,23,No,,,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sandy Soil,Urban soil,Soil,"Flyvestation Værløse, Denmark","55.7653° N, 12.3219° E",,,"Open horizontal column experiment (120cm long x 8.1cm diameter). Due to the horizontal position of the column, no hydraulic gradient causing water advection along the
column axis was present. Substance transport across the column due to vapor transport",6.1,0.01,,29,,No,,Yes,Column purged with water satuated airflow at a rate of 5mL/min,30,Conservative tracers (CFC-113 and CFC-11) used,,Synthetic mixture,Gasoline components,Liquid,Mixed directly (gaseous volume injected),,,,First order rate constant,,,0.1,6.93,Hohener 2006,,,L,Y,L,H,H,H,Y,M,H,N/A,N/A,L,H,M,H,2.2,2.3,2,2.3,4.699,0.6721,CCCCCC
520,n-hexane,n-P,6,110-54-3,CCCCCC,1.066153846,0.027819878,-1.698970004,25,No,1.390935107,0.713490543,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alluvial sand,Lake soil,Soil,"Lake Geneva, Switzerland",,,,Closed microcosm in 63mL glass jar sealed with teflon coated mininert valves. Vessel completely packed with soil (porosity 0.42),0.063,0.02,,11.8,,No,,No,Adequate oxygen in microcosm headspace,15,Abiotic control,Sodium Azide,Synthetic mixture,Gasoline components,Liquid,Mixed directly (gaseous volume injected),24.6,5.17,,First order rate constant,,,0.65,1.066153846,Hohener 2003,Abiotic tracers also used,,L,Y,L,H,H,H,N ,M,H,N/A,N/A,L,H,M,H,2.2,2.3,1,2.3,4.699,0.6721,CCCCCC
521,n-hexane,n-P,6,110-54-3,CCCCCC,34.65,1.539703239,-2,25,No,,,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sandy Soil,Urban soil,Soil,"Flyvestation Værløse, Denmark","55.7653° N, 12.3219° E",,,Closed microcosm in 63mL glass jar sealed with teflon coated mininert valves. Vessel completely packed with soil ,0.063,0.01,,29,,No,,No,Adequate oxygen in microcosm headspace,20,Abiotic control,Sodium Azide,Synthetic mixture,Gasoline components,Liquid,Mixed directly (gaseous volume injected),,,,First order rate constant,,,0.02,34.65,Hohener 2006,,,L,Y,L,H,H,H,N ,M,H,N/A,N/A,L,H,M,H,2.2,2.3,1,2.3,4.699,0.6721,CCCCCC
522,n-hexane,n-P,6,110-54-3,CCCCCC,13.8,1.13916525,,30,No,0.556302501,-0.443697499,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Surface soil,Urban soil,Soil,"Tsukuba-city, Japan","36°03'41.7""N 140°08'02.6""E",,,Closed microcosm in 110mL glass vial sealed with teflon coated caps,0.0064,,,34,,Yes,Repeated shaking throughout the test,No,Adequate oxygen in microcosm headspace,116,None described,Vessel completely sealed and samples taken using syringe from headspace so unlikely to significant abiotic losses,Synthetic mixture,Synthetic gasoline,Liquid,Mixed directly with soil for 5 mins by shaking,3.6,0.36,0,First order rate constant,0.9862,,0.0503,13.77733598,Nishiwaki 2017,,,L,N ,L,L,H,H,N ,M,H,N/A,N/A,H,H,H,H,1.8,2.8,0,2.3,4.699,0.6721,CCCCCC
523,n-hexane,n-P,6,110-54-3,CCCCCC,10.0,0.99874843,,30,No,0.556302501,-0.443697499,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Subsurface soil (10-15cm depth),Urban soil,Soil,"Tsukuba-city, Japan","36°03'41.7""N 140°08'02.6""E",,,Closed microcosm in 110mL glass vial sealed with teflon coated caps,0.0064,,,33,,Yes,Repeated shaking throughout the test,No,Adequate oxygen in microcosm headspace,138,None described,Vessel completely sealed and samples taken using syringe from headspace so unlikely to significant abiotic losses,Synthetic mixture,Synthetic gasoline,Liquid,Mixed directly with soil for 5 mins by shaking,3.6,0.36,0,First order rate constant,0.9037,,0.0695,9.971223022,Nishiwaki 2017,,,L,N ,L,L,H,H,N ,M,H,N/A,N/A,H,H,H,H,1.8,2.8,0,2.3,4.699,0.6721,CCCCCC
524,n-hexane,n-P,6,110-54-3,CCCCCC,0.016594828,-1.780027255,0.079181246,20,No,,,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Construction site soil,Urban soil,Soil,"Newcastle, UK","54°58'46.9""N 1°35'54.6""W",,,Closed microcosm in 63mL serum bottles and sealed ith mininert valves,0.02,1.2,,12,,No,,No,Adequate oxygen in microcosm headspace,10,Abiotic control,"Autoclave, 120oC, 30min",Synthetic mixture,,Liquid,Injected into microcosm,,,,First order rate constant,,,41.76,0.016594828,Bushnaf 2011,,,L,N ,H,H,H,H,N ,M,H,N/A,N/A,L,H,M,H,2.6,2.3,0,2.5,4.699,0.6721,CCCCCC
525,n-hexane,n-P,6,110-54-3,CCCCCC,0.026736111,-1.572901763,0.462397998,20,No,,,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Construction site soil,Urban soil,Soil,"Newcastle, UK","54°58'46.9""N 1°35'54.6""W",,,Closed microcosm in 63mL serum bottles and sealed ith mininert valves,0.02,2.9,,12,,No,,No,Adequate oxygen in microcosm headspace,10,Abiotic control,"Autoclave, 120oC, 30min",Synthetic mixture,,Liquid,Injected into microcosm,,,,First order rate constant,,,25.92,0.026736111,Bushnaf 2011,Ammended with biochar,,L,N ,H,H,H,H,N ,M,H,N/A,N/A,L,H,M,H,2.6,2.3,0,2.5,4.699,0.6721,CCCCCC
526,n-hexane,n-P,6,110-54-3,CCCCCC,0.395032244,-0.403367454,-2.698970004,23,No,-1.798602876,-1.798602876,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alluvial sand from lakeGeneva,Lake soil,Soil,"Lake Geneva, Switzerland","46°13'23.5""N 6°09'12.7""E",,,Closed microcosm in 63mL serum bottles and sealed ith mininert valves,0.063,0.002,,10% WHC,,No,,No,Likely adequate oxygen in soi pore spaces for biodegradation,1,Vessels completely sealed and samples taken from gas phase resulting no losses through volatilisation,,Single constituent,,Gas,Gaseous form injected into microcosm,0.0159,0.0159,0.001431,Lag + First order rate constant,0.9262,0.14174277,2.736,0.253289474,Bouhard 2008,Sand packed tightly into glass vessel,Nutrients added,L,Y,L,H,H,M,N ,M,H,N/A,N/A,L,H,M,H,2.0,2.3,1,2.2,4.699,0.6721,CCCCCC
527,n-hexane,n-P,6,110-54-3,CCCCCC,0.175486111,-0.75575725,-2.698970004,23,No,-0.099632871,-1.798602876,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alluvial sand from lakeGeneva,Lake soil,Soil,"Lake Geneva, Switzerland","46°13'23.5""N 6°09'12.7""E",,,Closed microcosm in 63mL serum bottles and sealed ith mininert valves,0.063,0.002,,10% WHC,,No,,No,Likely adequate oxygen in soi pore spaces for biodegradation,1,Vessels completely sealed and samples taken from gas phase resulting no losses through volatilisation,,Synthetic mixture,,Gas,Gaseous form injected into microcosm,0.795,0.0159,0.0013833,Lag + First order rate constant,0.928,0.127361111,14.4,0.048125,Bouhard 2008,Sand packed tightly into glass vessel,Nutrients added,L,Y,L,H,H,M,N ,M,H,N/A,N/A,L,H,M,H,2.0,2.3,1,2.2,4.699,0.6721,CCCCCC
528,n-hexane,n-P,6,110-54-3,CCCCCC,0.240798611,-0.618346022,-2.698970004,23,No,-0.268411235,-1.798602876,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alluvial sand from lakeGeneva,Lake soil,Soil,"Lake Geneva, Switzerland","46°13'23.5""N 6°09'12.7""E",,,Closed microcosm in 63mL serum bottles and sealed ith mininert valves,0.063,0.002,,10% WHC,,No,,No,Likely adequate oxygen in soi pore spaces for biodegradation,1,Vessels completely sealed and samples taken from gas phase resulting no losses through volatilisation,,Synthetic mixture,,Gas,Gaseous form injected into microcosm,0.539,0.0159,0.0015741,Lag + First order rate constant,0.9017,0.200694444,17.28,0.040104167,Bouhard 2008,Sand packed tightly into glass vessel,Nutrients added,L,Y,L,H,H,M,N ,M,H,N/A,N/A,L,H,M,H,2.0,2.3,1,2.2,4.699,0.6721,CCCCCC
529,n-Nonacosane,n-P,29,630-03-5,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,65.77416556,1.818055347,0.755874856,25,No,4.301029996,2.294136288,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sandy loam soil,Agricultural soil,Soil,"Casa Grande, AZ, USA","32°54'01.7""N 111°48'06.6""W",,Sieved through 2mm mesh and stored at 4oC until use,Open microcosm in 150mL serum bottles. Incubated in dark,0.02,5.7,,38.9,,No,,Yes,Open microcosm,45,Abiotic control,"Autoclave x3, 1h",Synthetic crude oil ,Consisted of n-alkanes ranged from C12 to C24. Weathered for 100h under nitrogen,Liquid,Mixed directly,20000,196.8503937,0,First order rate constant,1,,0.010536052,65.77416556,Hamamura 2013,Ammended with nutrients,,L,N ,H,H,H,H,N ,M,H,N/A,N/A,H,M,M,H,2.6,2.5,0,2.6,122.7,2.0888,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC
530,n-Nonacosane,n-P,29,630-03-5,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,9.55403366,0.980186767,0.591064607,4,No,4.301029996,2.579494163,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beaverton loam soil,Agricultural soil,Soil,"Beaverton, MT, USA","48°25'21.3""N 107°15'15.9""W",,Sieved through 2mm mesh and stored at 4oC until use,Open microcosm in 150mL serum bottles. Incubated in dark,0.02,3.9,,29.9,,No,,Yes,Open microcosm,26,Abiotic control,"Autoclave x3, 1h",Synthetic crude oil ,Consisted of n-alkanes ranged from C12 to C24. Weathered for 100h under nitrogen,Liquid,Mixed directly,20000,379.7468354,60.94702297,First order rate constant,0.947061979,,0.072534808,9.55403366,Hamamura 2008,Ammended with nutrients,,H,N ,H,H,H,H,N ,M,H,N/A,N/A,H,M,M,L,3.0,2.2,0,2.6,122.7,2.0888,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC
531,n-Nonacosane,n-P,29,630-03-5,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,0.646999719,-0.189095908,0.591064607,25,No,4.301029996,2.566981148,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beaverton loam soil,Agricultural soil,Soil,"Beaverton, MT, USA","48°25'21.3""N 107°15'15.9""W",,Sieved through 2mm mesh and stored at 4oC until use,Open microcosm in 150mL serum bottles. Incubated in dark,0.02,3.9,,29.9,,No,,Yes,Open microcosm,8,Abiotic control,"Autoclave x3, 1h",Synthetic crude oil ,Consisted of n-alkanes ranged from C12 to C24. Weathered for 100h under nitrogen,Liquid,Mixed directly,20000,368.9615824,26.62609357,First order rate constant,0.998147707,,1.071097838,0.646999719,Hamamura 2008,Ammended with nutrients,,H,N ,H,H,H,H,N ,M,H,N/A,N/A,H,M,M,H,3.0,2.5,0,2.8,122.7,2.0888,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC
532,n-Nonacosane,n-P,29,630-03-5,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,5.997774474,0.777990132,0.591064607,10,No,4.301029996,2.583053974,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beaverton loam soil,Agricultural soil,Soil,"Beaverton, MT, USA","48°25'21.3""N 107°15'15.9""W",,Sieved through 2mm mesh and stored at 4oC until use,Open microcosm in 150mL serum bottles. Incubated in dark,0.02,3.9,,29.9,,No,,Yes,Open microcosm,19,Abiotic control,"Autoclave x3, 1h",Synthetic crude oil ,Consisted of n-alkanes ranged from C12 to C24. Weathered for 100h under nitrogen,Liquid,Mixed directly,20000,382.8723238,39.06860447,First order rate constant,0.796152164,,0.115542857,5.997774474,Hamamura 2008,Ammended with nutrients,,H,N ,H,H,H,H,N ,M,H,N/A,N/A,H,M,M,H,3.0,2.5,0,2.8,122.7,2.0888,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC
533,n-Nonacosane,n-P,29,630-03-5,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,1.003220253,0.001396291,0.591064607,25,No,4.301029996,2.31202538,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beaverton loam soil,Agricultural soil,Soil,"Beaverton, MT, USA","48°25'21.3""N 107°15'15.9""W",,Sieved through 2mm mesh and stored at 4oC until use,Open microcosm in 150mL serum bottles. Incubated in dark,0.02,3.9,,29.9,,No,,Yes,Open microcosm,21,Abiotic control,"Autoclave x3, 1h",Synthetic crude oil ,Consisted of n-alkanes ranged from C12 to C24. Weathered for 100h under nitrogen,Liquid,Mixed directly,20000,205.1282051,0.205128205,First order rate constant,1,,0.690775528,1.003220253,Hamamura 2013,Ammended with nutrients,,H,N ,H,H,H,H,N ,M,H,N/A,N/A,H,M,M,H,3.0,2.5,0,2.8,122.7,2.0888,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC
534,n-Nonacosane,n-P,29,630-03-5,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,19.42945564,1.288460633,0.755874856,25,No,4.301029996,2.294136288,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jory clay soil,Agricultural soil,Soil,"Oregan, USA",,,Sieved through 2mm mesh and stored at 4oC until use,Open microcosm in 150mL serum bottles. Incubated in dark,0.02,5.7,,38.9,,No,,Yes,Open microcosm,45,Abiotic control,"Autoclave x3, 1h",Synthetic crude oil ,Consisted of n-alkanes ranged from C12 to C24. Weathered for 100h under nitrogen,Liquid,Mixed directly,20000,196.8503937,0,First order rate constant,1,,0.035667494,19.42945564,Hamamura 2013,Ammended with nutrients,,H,N ,H,H,H,H,N ,M,H,N/A,N/A,H,M,M,H,3.0,2.5,0,2.8,122.7,2.0888,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC
535,n-Nonacosane,n-P,29,630-03-5,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,14.36846171,1.157410275,0.826074803,28,No,5,2.531478917,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Woodland soil,Woodland soil,Soil,"La Plata City, Argentina","34°53'00.8""S 57°56'20.6""W",,"Air-dried (approx. 1 week), powdered and sieved through a 2-mm-mesh sieve",Closed (partially) microcosm in 4L glass flasks covered with sterilized paper and aluminum foil,1,6.7,,,,Yes,"Homogenised on d 15, 30, 60 and 90.",Yes,Vessel partially opened,60,No abiotic control but vessels partially covered,,Crude oil,Obtained from La Plata YPF refinery,Liquid,Mixed directly,100000,340,240,First order rate constant,0.862501258,,0.048230633,14.36846171,Colombo 1996,<C16 not included in database due to expected abiotic losses through volatilisation,,L,N ,L,L,L,H,N ,L,H,N/A,N/A,L,M,M,H,1.4,2.0,0,1.7,122.7,2.0888,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC
